DAG ID,File Name,Schedule,Owner,Tags,Description,Main Purpose,Key Tasks/Functionality
backup_db,backup_db.py,Manual trigger,airflow,"sync, minio, database, etl, dwh, backup, full","Full backup: Process ALL partitions, TRUNCATE first, deduplicate last","Sao lưu đầy đủ dữ liệu từ MinIO và cơ sở dữ liệu, xóa tất cả dữ liệu cũ trước đó","Truncate all tables, sync data from MinIO to database, deduplicate data"
csv_to_parquet,csv_to_parquet.py,Daily at 04:00 AM,airflow,"compression, parquet, minio, optimization","Compress CSV files in MinIO to Parquet format for efficient storage and querying","Nén các file CSV thành định dạng Parquet để tiết kiệm bộ nhớ và tối ưu hóa truy vấn","Compress history_price, company_info, company_people, and other folders to Parquet format"
bctc_minio,dl_bctc.py,Weekly (@weekly),airflow,"vnstock, finance","Fetch financial statements (BCTC) for all stock tickers","Lấy dữ liệu báo cáo tài chính từ VNStock API cho tất cả mã cổ phiếu","Batch stock codes, fetch financial statements, save to MinIO bucket"
daily_news_minio,dl_daily_news.py,Daily (@daily),airflow,"vnstock, news, minio, api","Fetch daily news from VNStock API for all tickers","Lấy tin tức hàng ngày từ VNStock API","Fetch news, filter by date, save CSV files to MinIO in date-partitioned folders"
daily_paper,dl_daily_paper.py,Daily at 18:00,airflow,"news, paper, crawl, minio","Crawl daily news from paper websites (cafef, vneconomy, vnexpress)","Thu thập tin tức từ các trang báo mạng Việt Nam","Crawl news from paper websites, filter by date, save to MinIO"
electric_board_daily,dl_electric_board.py,Daily at 16:00 (Mon-Fri),airflow,"vnstock, finance, electric_board, daily","Get daily price board data and save to MinIO","Lấy dữ liệu bảng giá giao dịch cuối ngày từ thị trường chứng khoán","Get batches of stock tickers, fetch price board data, save to MinIO"
events,dl_event.py,Monthly on 1st at 18:00,airflow,"vnstock, events, minio","Daily DAG for fetching events from VNStock API","Lấy các sự kiện công ty từ VNStock API","Fetch corporate events, save to date-partitioned folders in MinIO"
financial_ratios_minio,dl_financial_ratios.py,Weekly on Sunday at 02:00,airflow,"vnstock, finance, ratios, financial_metrics","Fetch financial ratios (P/E, EPS, ROA, ROE) for all tickers","Lấy chỉ số tài chính (P/E, EPS, ROA, ROE) cho tất cả mã cổ phiếu","Batch stock codes, fetch financial ratios, save to MinIO with date partitioning"
global_index_minio,dl_global_index.py,Daily (@daily),airflow,"macro_economy, global_index, forex, bonds, yfinance","Fetch global index data (USD/VND, DXY, bonds, etc)","Lấy dữ liệu chỉ số toàn cầu: USD/VND, DXY, trái phiếu,...","Ingest USD/VND rate, DXY index, US bond yields, save to MinIO"
history_price_minio,dl_history_price.py,Daily (@daily),airflow,"vnstock, finance, price","Fetch historical stock price data","Lấy dữ liệu giá lịch sử cổ phiếu","Batch stock codes, fetch historical prices with configurable date range, save to MinIO"
macro_eco_minio,dl_macro_eco.py,Daily (@daily),airflow,"macro_economy, gold, oil, dowjones, commodities, yfinance","Fetch commodity prices and stock indices (Gold, Oil, Dow Jones)","Lấy giá hàng hóa và chỉ số chứng khoán toàn cầu","Ingest gold futures, WTI crude oil, Dow Jones index prices in parallel"
market_minio,dl_market_index_price.py,Daily at 15:00 (Mon-Fri),airflow,"vnstock, finance, index, price, minio","Fetch market index prices for Vietnamese stock market","Lấy giá chỉ số thị trường chứng khoán Việt Nam","Get index price data, clean and validate, save to MinIO with timestamp"
company_overview_to_minio,dl_overview.py,Weekly (@weekly),airflow,"vnstock, company, overview","Fetch company overview information for all stock tickers","Lấy thông tin tổng quan về công ty cho tất cả mã cổ phiếu","Batch stock codes, fetch company overview data, save to MinIO"
company_people_to_minio,dl_people.py,Weekly (@weekly),airflow,"vnstock, company, people","Fetch company people/management information for all tickers","Lấy thông tin người quản lý/ban lãnh đạo công ty","Batch stock codes, fetch company people data, save to MinIO"
minio_to_db_manual_sync,minio_to_db_manual_sync.py,Manual trigger,airflow,"sync, minio, database, manual, etl, dwh","Manual sync of specific MinIO folders/partitions to PostgreSQL database","Đồng bộ hóa thủ công dữ liệu từ MinIO sang cơ sở dữ liệu PostgreSQL","Allow users to manually select topic/folder and date range for sync"
minio_to_db_sync,minio_to_db_sync.py,Daily at 03:00 AM,airflow,"sync, minio, database, etl, dwh","Synchronize all data from MinIO to PostgreSQL database","Đồng bộ tất cả dữ liệu từ MinIO sang cơ sở dữ liệu PostgreSQL hàng ngày","Sync BCTC (upsert with mapping), news, prices, financial ratios, company info"
archive_realtime_quotes,orderbook_to_minio.py,Daily at 02:00 AM,airflow,"archive, realtime_quotes, minio, parquet, dwh","Archive realtime quotes to MinIO and compress to Parquet format","Lưu trữ dữ liệu thời thực từ cơ sở dữ liệu sang MinIO dưới dạng Parquet","Extract realtime quotes from database, archive to MinIO, compress to Parquet, cleanup old data"
